"filename", "language", "JavaScript", "PHP", "PostCSS", "Markdown", "JSON", "Properties", "XML", "Docker", "YAML", "comment", "blank", "total"
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 9, 26
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 22, 67
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Console\Kernel.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 12, 6, 33
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Exceptions\Handler.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 23, 7, 51
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Controllers\AuthController.php", "PHP", 0, 104, 0, 0, 0, 0, 0, 0, 0, 9, 22, 135
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Controllers\Controller.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Controllers\PropiedadController.php", "PHP", 0, 136, 0, 0, 0, 0, 0, 0, 0, 6, 17, 159
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Controllers\UserController.php", "PHP", 0, 89, 0, 0, 0, 0, 0, 0, 0, 23, 22, 134
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Kernel.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 0, 21, 7, 68
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Middleware\Authenticate.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 8, 6, 33
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Middleware\TrimStrings.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Middleware\TrustHosts.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Middleware\TrustProxies.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 5, 29
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 11, 4, 23
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Models\Propiedad.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 7, 61
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Models\User.php", "PHP", 0, 79, 0, 0, 0, 0, 0, 0, 0, 8, 17, 104
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Providers\AppServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12, 5, 29
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Providers\AuthServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 13, 6, 31
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Providers\EventServiceProvider.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 16, 6, 43
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\app\Providers\RouteServiceProvider.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 17, 8, 53
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\composer.json", "JSON", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 66
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\composer.lock", "JSON", 0, 0, 0, 0, 8138, 0, 0, 0, 0, 0, 1, 8139
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\config\app.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 0, 134, 34, 216
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 70, 14, 112
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\config\broadcasting.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 23, 13, 71
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\config\cache.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 0, 34, 19, 111
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\config\cors.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 12, 12, 35
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 0, 47, 22, 152
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_bcknd\nestly_bcknd\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 32, 13, 77
